Customer Cohort Month,Month,Volume
12/31/2020,6/30/2021,3181000
7/31/2018,9/30/2022,23212000
5/31/2020,5/31/2021,1000
3/31/2019,10/31/2022,1751000
6/30/2021,7/31/2022,1100000
7/31/2021,7/31/2021,31000
6/30/2020,4/30/2022,2121000
12/31/2021,1/31/2023,6000
11/30/2019,2/28/2022,411000
2/29/2020,1/31/2022,410000
8/31/2018,6/30/2022,689000
1/31/2021,7/31/2022,4949000
11/30/2020,3/31/2022,358000
2/28/2019,2/28/2023,9763000
10/31/2021,4/30/2022,1072000
6/30/2020,2/28/2023,832000
8/31/2021,4/30/2023,840000
1/31/2018,7/31/2022,12598000
6/30/2020,12/31/2022,753000
7/31/2018,7/31/2022,25289000
8/31/2021,8/31/2021,292000
8/31/2019,3/31/2023,329000
1/31/2018,5/31/2023,20140000
6/30/2018,8/31/2021,2482000
6/30/2018,1/31/2022,4769000
9/30/2018,5/31/2023,140000
6/30/2022,12/31/2022,206000
11/30/2018,10/31/2021,1449000
2/28/2021,5/31/2022,1519000
12/31/2021,4/30/2022,116000
10/31/2018,4/30/2023,1763000
12/31/2018,12/31/2021,5354000
8/31/2021,9/30/2021,1298000
2/28/2021,8/31/2021,120000
10/31/2018,9/30/2021,1020000
3/31/2019,8/31/2022,2008000
7/31/2021,12/31/2021,118000
4/30/2020,5/31/2023,75358000
7/31/2019,3/31/2023,1857000
1/31/2022,5/31/2023,2234000
2/29/2020,3/31/2023,2143000
10/31/2019,5/31/2022,1681000
12/31/2020,2/28/2023,3668000
2/28/2021,11/30/2021,505000
